guid,hazard_values,haz_expose
c5f3afb0-ba77-4945-8326-9465f8db317a,1.0484321117401123,True
0b809f6e-2b7c-4fed-9c0f-3162709e8768,1.4420028924942017,True
71e650f5-19c9-422f-a13a-7c62f49ed66d,1.0055887699127197,True
3bd76720-c073-4b6d-b954-f45da609a7ec,0.0,False
12d50b78-120c-42aa-a581-def057be5e9b,1.1277530193328857,True
72f82c97-5e71-41b0-bebb-6ecf06e38470,1.605267882347107,True
639518dd-ae18-45fb-a50c-30d19fc658e3,1.4646631479263306,True
b2a665f8-2bc8-49ff-82b9-e3bb27e4fe4f,1.4296636581420898,True
b877ee53-5e91-40c8-9a61-4b7884735e96,0.6824376583099365,True
1e7fee45-a224-4996-ab3a-d7ec48274631,0.7151749134063721,True
8151e87d-4e93-498e-b0d7-3b98e642bd7a,0.701667070388794,True
cf03cf41-8721-496e-ab98-6d04a195bd2e,0.7813708782196045,True
eb8b3bce-ba52-48fc-b2d3-e27530a4b192,0.6901900768280029,True
a9afe685-1c8e-433c-a85e-7c402004f867,0.707038402557373,True
40de5cb1-03ad-417b-81b8-9ac922828930,0.39443182945251465,True
988103e9-bc51-4063-82e2-23c866c028ca,0.6051702499389648,True
551e4bbf-4be8-4038-89e8-abc297f7e7f8,0.44695210456848145,True
ee38d107-c051-4383-b48b-2b37d1daf660,0.0,False
9f459177-d38e-4a0d-9ef6-5ef0c0af6353,0.0,False
2ef3cfad-1f05-40e7-a689-4a612c192c0e,0.0,False
f3d7a803-e07e-494b-93f1-e4e03fa686eb,0.0,False
accab1b3-3d8c-432a-b0c5-49b46e1830d5,0.0,False
eb8ed5c2-1162-48f4-8288-9db744a1d790,0.0,False
338ee2b1-650d-4115-a495-69432847e303,0.0,False
97c81f09-c7d1-4129-8c1d-64547e5d1405,0.0,False
c3f80c98-ab13-4ab8-a878-10172b509c81,0.0,False
3ef9618b-40ea-472c-8796-f02e4f6da1fd,0.0,False
3227538a-ba67-4700-9763-d06b1afca51a,0.0,False
96732126-08c3-406e-a3f3-d6651a9f09f7,0.0,False
e45f0ea1-a921-41f4-b2e6-8a14c074a295,0.0,False
d12594b7-7558-4566-b993-d0d48e36a8d4,0.0,False
de6c358c-e022-4027-acb9-8d7ffb2cdb0e,1.0113413333892822,True
97326514-ae61-4650-9715-3de052e55e2b,1.1652870178222656,True
861ed255-3b45-4119-b401-2a43ed6338fa,1.2625932693481445,True
bf38cfae-e6d8-43e8-b624-98d92c7b4be9,0.9913287162780762,True
e4ba1bcc-534f-47f5-ad09-823dc031436e,1.1415562629699707,True
eb75d281-0f43-4785-b8f8-ec973673dc64,1.095348596572876,True
165ca595-7d09-4f93-91eb-979e2f852529,1.5892547369003296,True
3c2c9fa3-e8b4-46e8-af66-91066d42b031,1.1256625652313232,True
f84bc4bc-1857-4304-ab91-65fbda9d529a,1.1988792419433594,True
2817805f-41af-4d62-b931-d3e0f41fb6b6,1.4123350381851196,True
5c1b6ea5-5b41-47d7-b971-b337c54a90e0,0.9919185638427734,True
1dd90896-ba01-4d71-ad6c-5eeb4667108a,0.12403416633605957,True
0815d073-5b0e-4a3a-ab2c-9e58a631e0cf,0.886693000793457,True
f2b4401d-38ed-49e1-a6ee-9af5a1862a09,1.0128514766693115,True
839c9271-3d69-4363-88c9-e979a1422189,1.0089900493621826,True
d867d85e-5d7d-4008-865b-072b953e4f61,1.3919854164123535,True
7ced8a48-c10a-4660-941f-4b3b039658a8,1.019505262374878,True
e2c89775-68d3-4edd-a5cc-c2aef7bdfe97,0.990128755569458,True
dd7f3a88-fc5a-4dbe-a4a2-d905d37e8329,0.8656349182128906,True
cf655a5d-ee03-4915-a095-6970621c061f,1.0102033615112305,True
8e6df9c5-6ad9-49a4-bdb6-c4930d9eddfb,1.3241610527038574,True
84fe4448-e766-4d56-a24b-19e27aff1fbd,0.9834582805633545,True
7c58a64d-46de-4333-8f7d-f481d12dd5e5,1.2445788383483887,True
c7bab663-81d0-4494-8933-271a036164fb,0.8939306735992432,True
e48987d2-15d4-4949-8ab6-f320c5cb9356,1.0328712463378906,True
a54d7716-fabb-4a34-bc39-815d1f5cad0d,0.8367218971252441,True
c87558ff-aad0-4a0e-bb56-c35084689f05,0.8644745349884033,True
fa2735bf-7f23-49cb-b938-29c4e3e8f556,0.9559962749481201,True
