node,description
ff657258-15c8-4957-ac2b-50de6856c498,UTMB Emergency room node 1
34d3ff96-acf3-45f3-a5c2-afa2cfde4a6f,UTMB Emergency room node 2
a60be348-55f3-4227-9492-8fa7c8cf903d,UTMB parking 1
fa2fbc4c-26a6-4bbb-9f1a-fd81981a50ec,UTMB parking 2
f28ba8c2-56b2-42af-b961-263282600eac,UTMB parking 3
ce8766bb-ad8f-4b12-8bdc-69f241026f61,UTMB parking 4
a725be0c-a845-488a-a82e-d78b37f58f33,UTMB parking 5
