bldg_guid,node_guid,edge_guid
0020b9e6-49b5-4e62-b984-d22b8a36e801,e9beebc7-4285-4c6b-9d16-fdfa3555e9e8,7e504a38-f8d9-405f-af2b-0de8155ead22
002a4efa-a5f3-4452-a7e7-ef5169463186,619af597-a383-4310-97a9-a6e829534c7f,6340bf55-d395-4902-afa1-fb44b0c5be9f
002ac113-270c-4f49-8942-7ced6fba42e1,2186decb-f937-401c-8b05-c6d566b2e7c8,28a92192-6936-4129-bf61-6ff087e31af4
002e3e95-bce5-411d-83df-406f45512b4e,7364a9a3-4130-4048-a250-b16c553e025d,4318a6a3-8ddf-4f29-b8f2-430e3c6d920d
002ea256-0be1-44dc-b810-09f1131c4a38,e36f0ddd-c774-49c9-a153-483d85b54a25,f5625eeb-0846-423a-bef0-177e41739261
0031a378-75f2-4e46-800b-cd0c68065550,7e6cef80-8203-45e2-a1b7-ce60ab80d20d,e4ead294-9770-4583-af60-54e682c2bad8
00392fb4-2495-414d-9456-f09f6f73a53b,f86fd29d-762b-47ef-b326-e8fe760dec08,490d30d3-a91c-47b2-9b8c-03d25ac22052
003ea816-25d1-4c5c-866f-6651ba029434,02ba405c-74ab-4af5-85b7-92e14250dd64,ccaa2361-eeca-4f29-892b-56ae54e0855e
003ebdf6-8ca0-4d83-bccc-a11e94b5fa99,0c815318-401d-45e3-8630-1c14bec86a81,fdcab988-d7bd-4c05-9abd-aafd3a62c0ba
0042e72b-8781-489e-8674-e79b35bbc298,ee4deba5-341b-4f0a-bc4e-2f048bb785e6,56cb68da-65de-494b-a2c1-3bda1f4eb15b
00432d2f-a995-4d0e-aac0-164cbb14f742,3af50d8f-0485-4724-9df1-16ca21df50a1,f957787a-2567-41c3-a43b-3686d201044c
0048052c-5d22-4257-a3ab-a75ba7b99083,2466b3d2-fedf-448b-a712-f19c83daf804,be3bac03-971a-42a0-9a48-4b547c0a1fce
0049834a-00b8-4087-92b6-5e5f8cfad030,9cdb2096-2291-4086-9216-b52947c3e462,a0f725a3-7a4c-4781-8c11-7b5fe430f927
004eb0b1-0bc0-4a94-816f-0c6cfc8eb2bf,f9fc036b-6936-4174-8286-634661b413e1,04b0df61-8354-47e4-b932-db2cc7466e1d
00504441-659c-4af1-9392-dd4059020b3d,0d1b3bf2-75c9-455c-9ea4-1705541423be,08863330-f442-4859-b662-3e540dfa5c20
0055aed0-67f8-4725-b7bf-5e1b3ed10849,df2211ff-22ef-477d-988a-a8bcdf04b11f,2ad774c8-069c-41c9-bca5-ddfe34fa1205
0058e37d-617f-4968-9ca7-241408bc7401,ede67f85-4947-4576-9f66-d94d8b463ede,2841dc95-7b5f-4e43-a217-7336db1864c3
005c10a6-876c-450f-89e6-6ee3b2399adb,0ede77b3-6fcf-4a27-b8eb-bbf49430862c,7c380f1f-6718-446e-8055-b9ae7db9c3ed
005ef497-f0fa-4e84-951a-bf58b126cb10,5b81b7c9-b77e-44be-81a7-675cf663f79d,6cb19d4c-7749-4b72-ba3a-ff9f60eee6e5
005f6a47-ad34-4022-8497-837772ab702d,3d0ee6f4-698b-4141-9b6e-6affc07122e1,31bf27e5-2ab5-48d5-990c-0dd9dd661a33
0062ed37-8760-4787-b2b1-d87aea702a8b,a6d655b4-17b8-4ef9-a8a9-b11bf701701c,3de8d2d5-8425-4c74-a6c6-af66545007da
0066b8e6-c220-4baa-aed6-b26815f20bce,c44e4ad2-4fae-445f-83bf-fc91bbf0b4c1,e173d6c4-a722-4747-a92a-efdef3974ad8
0066d540-8ed7-4071-b8db-dc6ad11bf0fb,1d18724e-880e-43b4-b6ec-11965f7a3952,1166868e-ebcc-4ddd-a59d-4b7680177104
0068db4b-947a-4ff3-92f2-bcd6986fec3e,2f4a90f9-0c1f-47e5-a317-3ca7c2416433,27afde62-1719-4f62-939d-45f880216c62
006a9388-8986-4bab-861a-9d62e93af0c4,78fd1348-46f8-478e-83e3-4ed4442b9e8b,25c65ed9-1f41-486f-9669-19166f5a2455
006b8d9a-e79c-4c52-96e6-1ea2bd6459fd,ce18f248-e659-43f2-8a4b-051a890c806f,490d30d3-a91c-47b2-9b8c-03d25ac22052
006ca0aa-4518-4511-aaec-fcec318bfe8a,a62b1d99-5b01-43df-909e-4493b2ea6774,2cf3ae7d-686e-4954-bdf5-db8c75efc597
006d8f48-4f3a-4081-b5d6-3c3cff9ee7b3,653a9d34-69ab-4491-8799-b8712fe169fd,9f6151f1-14b2-4ef0-baa1-f1a0f7099bb2
0070c5ab-5be9-4938-8af1-f63331ded1c0,9b6d6cd2-35cc-4385-bd24-a69f029ff4f4,f1685cd3-df6c-49a6-99df-e587c8ddd21f
0071c082-ed85-4352-bdf9-d84112e84a71,35e3dbbb-26fc-46ee-9e20-de0af54e2fb8,000f4419-d3b5-42bc-9a68-9c2d505c917b
0075e2d2-ca9e-422f-b7d1-172086a472e7,f815f5ed-fdf8-415e-ae2f-adb46076e7eb,32bd0298-3c20-49ed-8577-a80c3235080c
007821c0-8f49-43ba-9524-6dba81f75259,408f03cb-4ec2-4296-b6e4-e85e7d4df7e5,7898019f-4342-4814-902f-f4a6fa16f3ac
00786fbb-9bd3-4687-8a8a-bf0303e768c0,667a4ab1-3943-4cdf-b07c-91e067929b1a,f3ded25e-57b9-44e9-9066-2a799706ab51
007c9359-0781-4f6f-9dc6-d3eb0b4f587b,bcc166b5-26f7-4b36-9fc0-4df40998c761,f37f3cce-9f32-4575-bc09-67203a17549a
007ebcb4-eb27-45bb-bac6-81a2002b2a0c,7c23e377-43d5-43ce-b8ea-22da217d0bf5,339fac3c-35c2-4bca-8185-af86fb3a6bec
008084b4-d0f2-49f1-b96f-c43eab8cacb4,47f884b5-05b9-4d0b-bc3e-53326f27f512,2c3f5189-a478-4281-9cef-c96fdca13b6d
008611bc-4aa5-4be9-8173-7d21d4e7d7e7,ae4be2eb-deb1-4c7a-b244-c7dc1bb3d420,d70326af-7060-42b7-8e27-22b02b161a33
008696f4-6f40-453a-9571-3fa64a793830,344a9795-4598-4217-907c-e13459bd95bc,676891bc-e44d-498d-98e9-be285db4dd93
00871062-8240-4b80-8ec8-4b7e04dddca0,de99a2ce-17d8-428f-b21a-5ad27efa36c7,cee6dd7b-712f-4725-9426-b9867f32a481
008a913f-3322-4519-9f99-40be14a888bb,e24a7ebd-50b5-4cd6-8d22-658561afc972,ec4903bd-0b74-4dcf-a3d0-9c0bdd069a8e
009161b8-a4d6-43e8-b2b3-565103d4b356,0431207e-e6b2-4279-882c-e42800693d57,64bd3ce4-45d4-4d89-adb3-34be0b8225de
0096067f-6dda-4e67-9d56-2b151d583c8a,73828a78-fb3b-4141-b43b-9ff0f67571dc,51f8d6ad-0530-493b-b93d-dc2fc96f17a0
009b91be-0669-4d96-899d-d1a12b0f8b3b,1f456055-52f9-4982-9bec-64768593af88,80bd5987-a313-4b2b-bd2b-5000b830a1e2
009d8654-7a5b-4a7e-865e-ee0a82a0d1ac,c9d28175-30e6-462e-8319-670cb44d2e65,988cc64b-2452-40b2-abfb-5c0c424722e2
009e6926-fc26-4dbb-b6b8-c2be63a74660,29d589d4-12aa-4501-bb31-f234e8bfacfc,3bb07d36-54e6-4ab0-8478-b17073e80258
009facce-a262-415e-b101-a5c950353111,40452c79-c238-45ea-a256-629cb9756cf4,b4367dbf-c42f-4d7f-b0b8-49c9116fb5cb
00a4802f-56f2-4a45-8cdb-ea3a8f3bdf04,1eb40956-d131-4c6d-9224-fe3cd011616e,c7f80225-cf7a-4ddf-b5b9-d0ff57ce3adc
00a55b10-b178-4738-9a77-5fe038dea7ad,56928849-ce90-4fdd-bd35-610664903a90,fe66581a-bd02-4bf4-b843-1f1fa6b761e1
00b05c6b-af33-403e-a359-5462033f583b,a1c173af-4eb2-4c85-ad4e-f3bd2f895327,fef12ebc-30bf-4c19-a092-5a77d158973d
00b0b800-ef27-42ee-a2fb-536433c5d018,5ba5b567-6bc1-467d-80ce-608aa2b0f7f4,727f05fe-eb22-4dc9-8d5a-4961edb17409
